cfg_id;bow;bigram;lemmatize;remove_stopwords;rating;length;tense;sentiment1;sentiment2;db_comment_column_name;1_fold
bow-lemmatize-remove_stopwords-rating-tense-sentiment1;True;False;True;True;True;False;True;True;False;stopwords_removal_lemmatization;0.52
bigram;False;True;False;False;False;False;False;False;False;comment;0.703030303030303
bow-rating-sentiment1;True;False;False;False;True;False;False;True;False;comment;0.5471698113207547
bow-bigram;True;True;False;False;False;False;False;False;False;comment;0.6719999999999999
bow-bigram-remove_stopwords-rating-tense-sentiment1;True;True;False;True;True;False;True;True;False;stopwords_removal;0.5384615384615385
bow-bigram-tense-sentiment1;True;True;False;False;False;False;True;True;False;comment;0.7031250000000001
bow-lemmatize-remove_stopwords;True;False;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.41758241758241754
bow-bigram-lemmatize-rating-tense;True;True;True;False;True;False;True;False;False;lemmatized_comment;0.7230769230769231
bow-lemmatize;True;False;True;False;False;False;False;False;False;lemmatized_comment;0.5607476635514019
bow-rating-tense-sentiment1;True;False;False;False;True;False;True;True;False;comment;0.5765765765765766
bow;True;False;False;False;False;False;False;False;False;comment;0.5283018867924528
bow-bigram-lemmatize-remove_stopwords;True;True;True;True;False;False;False;False;False;stopwords_removal_lemmatization;0.5050505050505051
bow-lemmatize-remove_stopwords-rating-tense-sentiment2;True;False;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.52
bow-lemmatize-rating;True;False;True;False;True;False;False;False;False;lemmatized_comment;0.5660377358490566
bigram-rating-sentiment1;False;True;False;False;True;False;False;True;False;comment;0.7898089171974523
bigram-lemmatize-remove_stopwords-rating-tense-sentiment2;False;True;True;True;True;False;True;False;True;stopwords_removal_lemmatization;0.7272727272727273
bow-remove_stopwords;True;False;False;True;False;False;False;False;False;stopwords_removal;0.4222222222222223
